,age,Gender_Male,Gender_Female,Gender_None,Purchase_Categories_Beauty_and_Personal_Care,Purchase_Categories_Clothing_and_Fashion,Purchase_Categories_Groceries_and_Gourmet_Food,Purchase_Categories_Home_and_Kitchen,Purchase_Frequency,Browsing_Frequency,Personalized_Recommendation_Frequency_Purchase,Personalized_Recommendation_Frequency,Recommendation_Helpfulness,Shopping_Satisfaction,Improvement_Areas
0,23,0,1,0,1,0,0,0,3,3,3,2,3,1,Reducing packaging waste
1,23,0,1,0,0,1,0,0,2,2,3,2,2,2,Reducing packaging waste
2,24,0,0,1,0,1,1,0,3,2,1,4,1,3,Product quality and accuracy
3,24,0,1,0,1,1,0,0,2,2,2,3,2,4,Product quality and accuracy
4,22,0,1,0,1,1,0,0,1,2,3,4,3,2,Product quality and accuracy
5,21,0,1,0,0,1,0,0,1,1,1,5,1,2,Product quality and accuracy
6,22,0,1,0,0,1,0,0,1,1,1,3,2,3,Shipping speed and reliability
7,21,0,1,0,1,1,0,0,3,1,1,3,2,3,Shipping speed and reliability
8,20,0,1,0,1,1,0,0,1,2,2,2,3,2,Reducing packaging waste
9,23,0,1,0,1,1,0,0,1,1,1,3,3,4,Product quality and accuracy
10,22,0,1,0,0,1,0,0,1,2,1,3,2,2,Shipping speed and reliability
11,25,0,1,0,1,1,0,1,5,3,1,3,3,1,Product quality and accuracy
12,23,0,1,0,1,1,0,0,1,2,1,2,1,2,Product quality and accuracy
13,24,0,1,0,0,1,0,1,2,2,1,2,3,2,Product quality and accuracy
14,21,0,1,0,1,0,0,0,1,3,3,5,2,1,Reducing packaging waste
15,23,0,1,0,0,0,0,0,1,1,1,3,2,3,Shipping speed and reliability
16,16,1,0,0,0,1,0,0,3,2,2,3,2,2,Shipping speed and reliability
17,21,0,1,0,0,1,0,0,1,2,1,2,3,1,Shipping speed and reliability
18,23,0,1,0,1,0,0,1,3,2,2,2,2,2,Customer service responsiveness
19,25,0,1,0,1,0,0,0,1,3,1,4,2,2,Product quality and accuracy
20,64,1,0,0,0,0,1,0,4,2,1,2,3,2,Reducing packaging waste
21,23,0,1,0,0,1,0,0,2,2,1,3,2,2,Customer service responsiveness
22,21,1,0,0,0,0,0,0,1,3,1,3,2,3,.
23,16,0,1,0,0,1,0,0,1,2,1,3,3,2,Shipping speed and reliability
24,23,0,1,0,1,1,0,0,3,2,1,3,2,1,Customer service responsiveness
25,24,0,1,0,0,0,1,0,5,3,3,2,1,3,Product quality and accuracy
26,22,0,1,0,1,1,0,0,1,3,1,3,2,2,Shipping speed and reliability
27,23,0,1,0,1,0,0,0,1,2,1,3,3,5,Reducing packaging waste
28,23,0,1,0,1,1,0,0,3,3,2,3,2,2,Shipping speed and reliability
29,24,0,1,0,0,1,0,0,1,2,3,4,3,4,Reducing packaging waste
30,25,0,1,0,0,1,1,0,3,3,1,2,2,4,Product quality and accuracy
31,23,0,1,0,1,1,1,1,1,3,1,4,1,4,Customer service responsiveness
32,23,0,1,0,0,0,0,0,1,1,1,5,1,3,Product quality and accuracy
33,23,0,1,0,1,1,1,1,1,4,3,1,3,1,Reducing packaging waste
34,23,1,0,0,1,1,1,1,5,3,3,3,3,1,Customer service responsiveness
35,24,0,1,0,0,0,0,0,1,4,2,3,2,1,Product quality and accuracy
36,24,0,1,0,1,1,0,1,3,4,1,2,3,1,Shipping speed and reliability
37,23,0,1,0,1,0,0,1,1,1,2,2,2,2,Reducing packaging waste
38,29,1,0,0,0,1,0,0,2,3,2,2,3,2,Customer service responsiveness
39,19,0,1,0,0,1,0,0,3,3,3,3,3,5,Shipping speed and reliability
40,26,0,1,0,0,0,0,0,1,2,3,1,3,2,Product quality and accuracy
41,32,1,0,0,0,0,0,0,1,1,1,1,1,1,Nothing
42,30,0,1,0,0,0,0,1,2,2,1,1,1,1,Reducing packaging waste
43,22,0,1,0,1,0,0,0,1,2,1,5,3,2,Product quality and accuracy
44,26,0,1,0,1,1,0,0,3,4,3,2,3,2,Shipping speed and reliability
45,24,0,1,0,1,1,0,0,1,3,1,1,3,1,Customer service responsiveness
46,23,0,1,0,1,1,0,1,3,2,3,4,3,4,Product quality and accuracy
47,24,0,1,0,0,1,0,0,1,2,2,3,2,3,Product quality and accuracy
48,23,0,1,0,0,0,0,0,3,3,1,4,2,3,Product quality and accuracy
49,24,1,0,0,0,1,0,0,3,2,1,1,3,2,Product quality and accuracy
50,23,0,1,0,1,0,0,1,2,2,1,5,1,3,Customer service responsiveness
51,25,1,0,0,0,0,0,0,1,3,2,3,2,3,Product quality and accuracy
52,24,0,1,0,1,1,0,0,1,2,1,1,3,2,Shipping speed and reliability
53,21,0,1,0,0,0,0,1,3,2,1,1,2,1,Reducing packaging waste
54,23,0,1,0,0,1,0,0,1,2,1,3,2,3,Reducing packaging waste
55,26,0,1,0,1,0,0,1,1,1,1,4,3,2,Shipping speed and reliability
56,23,0,1,0,0,1,0,0,3,3,3,1,2,2,Product quality and accuracy
57,23,0,1,0,1,1,0,0,3,2,3,3,1,3,Reducing packaging waste
58,40,1,0,0,1,0,0,1,3,3,1,4,2,1,Reducing packaging waste
59,25,0,1,0,1,0,0,0,2,2,2,3,2,3,Customer service responsiveness
60,24,1,0,0,0,0,0,0,2,3,2,4,2,2,Shipping speed and reliability
61,23,0,1,0,1,1,0,1,1,2,1,3,2,3,Product quality and accuracy
62,24,1,0,0,0,0,0,0,1,2,2,2,3,2,Shipping speed and reliability
63,24,1,0,0,0,0,0,0,1,3,1,3,2,3,Product quality and accuracy
64,24,0,1,0,1,1,0,0,1,2,2,3,3,3,Customer service responsiveness
65,26,1,0,0,0,0,0,0,3,3,1,3,3,4,Product quality and accuracy
66,23,0,1,0,1,0,0,1,3,2,2,2,2,3,Product quality and accuracy
67,23,0,1,0,1,1,0,1,3,3,1,3,2,1,Product quality and accuracy
68,24,0,1,0,0,0,0,0,2,3,2,3,3,2,Product quality and accuracy
69,23,1,0,0,0,0,0,0,1,2,1,3,2,3,better app interface and lower shipping charges
70,24,0,1,0,1,1,0,0,1,2,3,1,3,2,Product quality and accuracy
71,36,0,1,0,0,0,0,1,2,4,2,2,2,1,Shipping speed and reliability
72,26,1,0,0,0,0,0,1,1,1,1,1,3,1,Product quality and accuracy
73,31,1,0,0,0,0,0,1,2,2,1,4,2,1,Reducing packaging waste
74,23,1,0,0,0,0,0,0,1,1,1,2,1,2,Reducing packaging waste
75,23,0,1,0,0,0,0,1,1,2,3,3,3,2,Product quality and accuracy
76,30,1,0,0,0,0,1,1,4,3,3,4,3,4,Customer service responsiveness
77,24,0,1,0,0,0,0,0,1,1,1,2,2,2,Product quality and accuracy
78,47,0,0,1,0,0,0,0,1,1,2,2,1,2,Shipping speed and reliability
79,54,0,0,1,1,1,1,1,5,4,3,5,3,5,Shipping speed and reliability
80,58,1,0,0,0,1,0,0,2,3,1,4,1,3,Reducing packaging waste
81,53,0,1,0,0,0,0,1,1,3,1,2,3,1,Reducing packaging waste
82,23,0,0,1,1,0,0,0,4,4,1,3,2,3,Reducing packaging waste
83,25,0,0,1,0,1,1,0,3,3,3,4,2,3,Customer service responsiveness
84,23,0,1,0,1,0,0,0,1,1,1,2,2,2,Shipping speed and reliability
85,32,1,0,0,0,1,0,1,1,3,2,4,2,4,Customer service responsiveness
86,30,0,0,1,1,1,0,0,3,3,3,5,2,3,Product quality and accuracy
87,28,0,0,1,1,1,1,1,3,2,1,4,1,3,Shipping speed and reliability
88,20,0,1,0,1,1,0,0,5,4,1,3,1,3,Reducing packaging waste
89,25,1,0,0,0,0,0,0,3,1,1,2,2,3,Product quality and accuracy
90,55,0,0,1,0,0,1,0,3,4,3,4,3,3,Customer service responsiveness
91,24,0,1,0,1,0,0,1,2,3,1,4,2,4,Product quality and accuracy
92,62,0,1,0,1,0,0,0,1,1,2,5,3,3,Shipping speed and reliability
93,27,1,0,0,0,0,0,0,1,1,1,5,1,5,Customer service responsiveness
94,34,0,0,1,1,1,0,0,3,2,2,4,3,2,Product quality and accuracy
95,40,0,1,0,1,1,0,1,4,3,2,2,1,2,Shipping speed and reliability
96,22,0,0,1,0,0,0,0,1,2,3,3,1,4,Reducing packaging waste
97,34,0,0,1,0,1,0,1,3,2,1,1,2,2,Product quality and accuracy
98,24,0,1,0,1,0,0,1,1,3,1,1,2,1,Product quality and accuracy
99,44,1,0,0,0,1,0,0,3,2,1,2,3,2,Customer service responsiveness
100,31,0,1,0,0,0,0,1,2,1,2,5,1,2,Reducing packaging waste
101,23,0,1,0,0,1,0,0,4,3,2,3,3,3,Product quality and accuracy
102,23,0,1,0,1,0,0,0,1,2,2,2,3,1,Reducing packaging waste
103,22,0,1,0,0,1,0,1,1,3,1,5,2,3,Customer service responsiveness
104,24,0,1,0,1,1,0,1,4,3,2,1,3,1,Customer service responsiveness
105,23,0,0,1,1,1,0,1,4,4,3,1,3,1,Customer service responsiveness
106,25,1,0,0,0,0,0,0,1,2,3,3,2,3,Customer service responsiveness
107,23,1,0,0,0,1,0,0,4,3,2,1,1,2,Customer service responsiveness
108,24,1,0,0,1,1,1,1,2,3,2,2,3,2,Product quality and accuracy
109,24,0,1,0,0,0,0,0,3,3,3,2,3,2,Customer service responsiveness
110,26,0,1,0,0,0,0,0,1,2,1,1,3,1,Shipping speed and reliability
